time [ms],led_0,led_1,led_2,led_3
18506,9,13,9,9
18552,5,11,9,8
18599,9,12,9,9
18645,9,12,8,9
18692,2,10,9,8
18738,9,12,9,9
18784,8,11,8,9
18831,5,9,8,8
18877,9,11,9,9
18924,8,12,8,8
18970,6,11,7,8
19017,9,11,7,8
19063,6,10,7,8
19110,8,11,7,8
19156,9,12,7,8
19202,3,10,8,8
19249,9,12,7,8
19295,8,11,7,8
19342,3,11,7,8
19388,9,12,7,9
19435,8,11,6,8
19481,5,10,7,8
19527,9,13,7,8
19574,7,10,7,8
19620,7,12,7,8
19667,9,12,7,8
19713,4,10,7,8
19760,8,12,7,8
19806,9,12,7,9
19853,2,9,7,8
19899,8,11,6,8
19945,8,12,6,8
19992,3,8,7,7
20038,9,13,6,8
20085,8,11,6,8
20131,6,10,6,8
20178,9,12,6,8
20224,6,11,6,8
20271,7,10,6,8
20317,8,11,7,8
20363,6,10,7,8
20410,7,10,6,8
20456,8,12,6,8
20503,4,9,7,7
20549,8,11,6,8
20596,7,10,6,8
20642,5,11,6,8
20688,8,11,6,8
20735,6,10,6,7
20781,6,9,7,8
20828,8,11,6,8
20874,4,9,6,7
20921,6,10,6,8
20967,8,11,6,8
21014,4,7,6,7
21060,8,12,6,8
21106,8,10,6,8
21153,5,9,6,8
21199,8,11,6,8
21246,7,11,6,8
21292,4,8,6,7
21339,8,11,6,8
21385,6,9,6,7
21432,5,9,6,7
21478,8,11,6,8
21524,5,9,6,8
21571,7,10,6,8
21617,7,10,5,8
21664,4,8,6,7
21710,7,9,6,7
21757,7,10,5,8
21803,3,6,6,6
21849,6,9,6,7
21896,6,8,5,7
21942,4,9,6,7
21989,7,9,5,7
22035,5,8,6,7
22082,6,9,5,7
22128,7,9,6,8
22175,2,7,7,6
22221,6,9,6,7
22267,6,9,6,7
22314,2,5,6,5
22360,7,9,6,7
22407,5,7,6,6
22453,2,6,5,6
22500,6,9,6,7
22546,5,8,6,7
22593,3,8,6,6
22639,7,9,6,7
22685,3,6,6,6
22732,5,8,6,7
22778,6,9,6,7
22825,3,4,3,3
22871,5,8,6,6
22918,5,8,6,7
22964,6,12,8,7
23010,6,11,10,9
23057,8,12,10,9
23103,9,12,10,9
23150,9,12,9,9
23196,9,12,10,9
23243,9,13,9,9
23289,8,12,10,9
23336,8,11,8,8
23382,7,12,9,9
23428,7,11,9,9
23475,8,12,8,9
23521,9,12,8,9
23568,8,11,8,8
23614,9,13,8,9
23661,8,11,9,8
23707,8,12,8,9
23754,9,12,8,8
23800,8,12,8,9
23846,8,11,8,8
23893,8,11,7,8
23939,8,11,7,8
23986,8,10,6,8
24032,9,12,6,9
24079,4,12,10,9
24125,9,13,9,9
24171,8,12,10,9
24218,7,11,9,9
24264,10,13,10,9
24311,6,12,10,9
24357,7,12,10,9
24404,9,11,10,9
24450,7,13,9,9
24497,7,11,8,9
24543,9,12,9,9
24589,2,10,8,8
24636,8,12,9,9
24682,9,12,9,9
24729,3,11,9,9
24775,9,12,9,9
24822,7,10,8,8
24868,5,11,9,9
24915,9,12,8,9
24961,6,11,8,8
25007,7,11,8,9
25054,9,12,7,9
25100,4,9,7,7
25147,8,12,7,9
25193,8,12,7,8
25240,3,9,8,8
25286,9,12,8,9
25332,7,12,7,8
25379,5,9,7,8
25425,8,12,7,8
25472,7,11,7,8
25518,6,10,7,8
25565,9,13,7,9
25611,6,11,6,8
25658,8,10,7,8
25704,8,11,7,8
25750,2,10,7,8
25797,8,11,7,8
25843,8,11,6,8
25890,0,9,6,7
25936,8,11,7,8
25983,7,10,6,8
26029,5,11,7,8
26075,9,11,5,8
26122,6,9,6,8
26168,6,11,6,8
26215,9,12,6,8
26261,4,8,7,7
26308,7,11,6,8
26354,8,11,6,8
26401,3,9,6,7
26447,7,11,6,8
26493,7,11,6,8
26540,0,8,7,7
26586,8,12,6,8
26633,7,11,6,8
26679,5,10,7,8
26726,8,11,6,8
26772,5,9,6,8
26819,6,9,7,8
26865,8,11,6,8
26911,4,9,6,7
26958,6,9,6,7
27004,7,11,6,8
27051,1,9,6,7
27097,8,11,5,8
27144,7,10,5,8
27190,3,9,6,7
27236,7,10,6,8
27283,6,10,6,7
27329,5,9,6,7
27376,7,10,6,7
27422,5,9,6,7
27469,5,9,6,7
27515,7,10,6,8
27562,3,8,6,7
27608,7,11,6,8
27654,6,10,6,7
27701,1,9,6,7
27747,7,10,6,8
27794,5,9,6,7
27840,4,7,7,7
27887,7,11,6,8
27933,5,9,6,7
27980,5,9,6,7
28026,8,11,6,8
28072,4,8,6,6
28119,7,10,6,8
28165,7,10,5,8
28212,2,7,6,7
28258,6,9,6,7
28305,6,10,6,7
28351,1,6,3,5
28397,6,9,6,7
28444,5,8,6,7
28490,2,7,6,7
28537,7,9,6,7
28583,5,9,5,7
28630,5,8,5,7
28676,6,8,6,7
28723,3,8,5,7
28769,5,8,6,6
28815,6,9,6,7
28862,0,5,5,5
28908,5,9,6,7
28955,4,7,6,6
29001,6,12,8,7
29048,9,13,9,9
29094,9,12,9,9
29141,9,13,9,9
29187,10,13,8,9
29233,9,12,9,9
29280,9,12,8,9
29326,9,13,8,9
29373,7,11,8,8
29419,8,12,7,9
29466,8,12,8,9
29512,8,12,7,8
29558,9,13,8,9
29605,9,12,7,8
29651,8,12,7,9
29698,9,12,8,8
29744,8,12,7,9
29791,9,11,8,8
29837,9,13,8,9
29884,8,11,7,8
29930,8,11,6,8
29976,9,12,6,8
30023,7,10,6,8
30069,9,12,7,8
30116,9,13,9,9
30162,5,12,9,8
30209,9,13,8,9
30255,8,12,9,9
30302,7,11,9,9
30348,9,12,9,9
30394,6,10,8,8
30441,7,12,9,9
30487,9,11,8,9
30534,6,11,8,8
30580,8,12,9,9
30627,9,12,8,9
30673,1,10,9,8
30719,9,12,9,9
30766,8,10,9,8
30812,5,9,7,9
30859,9,12,8,9
30905,6,10,8,8
30952,7,11,8,8
30998,9,12,7,9
31045,6,11,6,8
31091,8,12,7,9
31137,9,13,7,9
31184,4,8,8,8
31230,9,12,7,8
31277,8,12,8,8
31323,3,9,7,8
31370,8,12,7,8
31416,7,11,7,8
31463,5,10,7,8
31509,8,11,7,9
31555,6,11,7,8
31602,7,10,7,8
31648,9,11,7,8
31695,5,10,7,8
31741,9,11,7,8
31788,8,11,7,8
31834,2,8,7,8
31880,8,12,7,8
31927,7,10,7,8
31973,3,11,7,8
32020,9,11,6,8
32066,7,10,6,8
32113,7,10,6,8
32159,9,13,6,8
32206,5,9,6,7
32252,8,11,7,8
32298,9,12,7,8
32345,4,8,7,7
32391,7,12,6,8
32438,8,11,6,8
32484,2,10,6,8
32531,8,11,6,8
32577,7,12,6,8
32624,4,8,6,7
32670,9,12,6,8
32716,7,10,6,8
32763,6,10,6,7
32809,8,11,6,8
32856,5,9,7,7
32902,6,10,6,8
32949,7,10,6,7
32995,4,11,6,8
33041,7,10,6,8
33088,7,11,6,8
33134,4,7,5,6
33181,8,11,6,8
33227,6,10,6,8
33274,5,10,6,8
33320,7,10,5,8
33367,6,9,6,7
33413,5,10,6,8
33459,7,10,5,8
33506,5,9,6,7
33552,7,10,6,8
33599,7,11,6,8
33645,2,7,6,7
33692,8,11,6,8
33738,6,9,6,7
33785,4,9,6,7
33831,7,11,6,8
33877,6,10,6,7
33924,5,9,7,7
33970,7,10,6,7
34017,5,10,6,7
34063,6,9,6,7
34110,7,11,6,8
34156,5,6,6,6
34202,7,10,6,8
34249,7,10,5,8
34295,2,7,6,7
34342,6,9,6,7
34388,7,9,6,7
34435,3,7,6,6
34481,6,9,5,7
34528,5,9,6,7
34574,3,8,6,7
34620,6,9,6,7
34667,4,8,6,7
34713,5,9,6,7
34760,6,8,5,7
34806,1,6,6,6
34853,5,8,6,7
34899,5,8,6,7
34946,3,7,6,6
34992,6,9,6,7
35038,7,12,9,8
35085,8,13,9,9
35131,8,13,10,9
35178,8,13,9,9
35224,9,12,9,9
35271,9,13,9,9
35317,7,11,9,8
35363,8,13,8,9
35410,7,10,8,8
35456,7,12,7,9
35503,8,12,8,9
35549,7,11,7,9
35596,8,12,8,8
35642,8,12,8,9
35689,7,12,7,8
35735,9,12,8,8
35781,8,11,8,8
35828,7,11,6,8
35874,8,12,7,9
35921,7,10,7,8
35967,7,12,7,8
36014,8,11,6,8
36060,7,11,6,8
36107,8,14,10,9
36153,10,13,9,9
36199,5,12,9,9
36246,9,12,10,9
36292,8,13,10,9
36339,2,10,10,9
36385,8,13,10,9
36432,8,12,9,9
36478,2,10,9,8
36524,9,13,8,9
36571,7,13,9,9
36617,6,12,9,9
36664,9,12,9,9
36710,6,12,9,9
36757,7,11,9,8
36803,8,13,9,9
36850,3,10,8,8
36896,7,11,8,9
36942,9,12,8,9
36989,3,12,7,9
37035,9,12,7,9
37082,8,12,7,8
37128,4,11,7,9
37175,9,12,7,8
37221,7,12,7,9
37268,7,11,7,8
37314,8,12,8,9
37360,5,9,7,7
37407,6,12,8,8
37453,8,11,7,8
37500,4,11,7,9
37546,8,12,7,8
37593,8,12,7,9
37639,3,11,7,8
37685,8,13,7,9
37732,7,11,7,8
37778,5,9,6,8
37825,8,12,7,8
37871,6,9,6,8
37918,6,11,7,8
37964,8,11,6,8
38011,5,11,6,8
38057,8,11,7,8
38103,8,12,5,8
38150,0,8,7,7
38196,8,10,6,8
38243,7,11,7,8
38289,2,8,6,7
38336,8,11,6,8
38382,7,9,6,8
38429,4,9,6,7
38475,7,10,6,8
38521,5,11,7,8
38568,6,9,7,8
38614,8,10,6,8
38661,3,9,6,7
38707,7,10,6,8
38754,7,10,6,8
38800,1,7,6,7
38846,7,10,6,8
38893,6,9,7,8
38939,3,9,7,7
38986,7,10,6,8
39032,5,8,6,7
39079,5,9,6,7
39125,8,11,6,8
39172,4,7,6,6
39218,6,10,6,8
39264,7,10,6,8
39311,1,6,6,6
39357,5,10,6,8
39404,7,10,6,8
39450,2,7,6,6
39497,6,9,6,7
39543,6,10,6,8
39590,5,7,6,7
39636,7,10,7,8
