time [ms],led_0,led_1,led_2,led_3
48599,10,12,9,7
48645,10,12,9,5
48692,10,11,9,4
48738,9,12,9,3
48785,9,12,10,3
48831,9,13,10,3
48877,8,11,9,3
48924,9,12,9,3
48970,9,11,9,3
49017,9,12,9,5
49063,9,11,9,3
49110,9,12,9,6
49156,9,11,8,4
49203,9,11,8,5
49249,6,9,9,7
49295,9,12,9,6
49342,9,11,8,7
49388,8,12,10,8
49435,9,11,8,3
49481,9,11,7,6
49528,6,9,8,6
49574,8,11,7,3
49621,9,11,7,3
49667,9,11,6,5
49713,9,11,8,5
49760,9,12,8,3
49806,6,9,6,2
49853,9,11,7,4
49899,9,11,7,9
49946,9,11,6,4
49992,8,11,6,4
50038,9,10,8,4
50085,7,11,7,8
50131,8,13,8,7
50178,8,13,6,8
50224,8,11,8,11
50271,8,14,11,9
50317,8,13,12,10
50364,8,13,10,5
50410,8,12,9,4
50456,7,12,10,4
50503,4,12,7,4
50549,7,11,8,9
50596,8,10,7,10
50642,8,11,5,5
50689,7,14,9,9
50735,7,12,7,8
50782,8,13,6,7
50828,8,12,7,6
50874,7,12,7,6
50921,7,11,7,4
50967,8,12,7,5
51014,8,10,8,5
51060,7,11,7,4
51107,7,11,7,4
51153,7,11,6,6
51199,7,11,6,2
51246,8,11,5,7
51292,8,10,7,3
51339,8,10,6,6
51385,7,9,5,3
51432,7,10,5,2
51478,6,12,14,8
51525,7,11,6,4
51571,7,12,8,3
51617,6,10,5,4
51664,7,10,7,3
51710,8,10,8,9
51757,7,11,10,11
51803,7,11,13,10
51850,7,12,10,7
51896,8,13,9,8
51943,8,13,9,8
51989,9,13,10,8
52035,8,13,10,7
52082,8,12,9,5
52128,7,11,9,11
52175,8,11,12,7
52221,10,11,11,14
52268,9,12,12,16
52314,11,13,12,11
52360,10,12,13,8
52407,11,12,12,7
52453,10,12,12,7
52500,9,13,13,12
52546,11,11,13,12
52593,10,10,13,13
52639,10,9,11,12
52686,11,9,11,11
52732,10,11,11,10
52778,10,13,12,7
52825,11,13,11,8
52871,11,12,11,6
52918,10,12,11,5
52964,10,9,12,4
53011,10,12,12,4
53057,10,11,11,3
53104,9,12,11,10
53150,9,10,11,6
53196,10,12,11,7
53243,10,13,10,4
53289,10,13,11,4
53336,10,12,10,8
53382,8,12,10,7
53429,10,11,10,7
53475,9,11,10,9
53521,8,11,10,10
53568,9,11,12,12
53614,9,10,11,9
53661,8,10,11,8
53707,9,12,13,9
53754,10,13,11,8
53800,9,13,7,3
53847,8,11,7,3
53893,7,11,7,2
53939,8,10,7,6
53986,7,10,7,7
54032,7,10,7,8
54079,9,13,7,7
54125,10,13,8,9
54172,10,12,8,9
54218,9,10,8,8
54265,9,10,7,6
54311,9,12,7,5
54357,9,12,8,5
54404,8,11,7,6
54450,7,11,6,4
54497,5,8,6,6
54543,8,9,6,4
54590,8,11,7,4
54636,7,11,6,4
54682,7,9,6,6
54729,7,11,8,7
54775,7,11,7,8
54822,8,12,7,4
54868,8,12,8,6
54915,7,12,5,4
54961,8,10,5,4
55008,7,11,5,4
55054,7,10,5,4
55100,7,12,4,7
55147,7,8,5,5
55193,8,10,7,5
55240,8,9,6,5
55286,8,10,6,7
55333,8,8,5,4
55379,8,9,6,5
55426,7,10,5,9
55472,7,9,5,5
55518,7,10,6,5
55565,8,10,6,4
55611,6,8,7,5
55658,7,10,6,3
55704,6,10,6,5
55751,7,11,5,3
55797,7,11,7,5
55843,6,10,8,5
55890,6,9,7,5
55936,5,9,14,11
55983,0,10,9,7
56029,3,11,12,11
56076,0,10,6,7
56122,1,10,5,5
56169,1,10,6,4
56215,4,10,9,9
56261,0,13,6,6
56308,0,14,7,8
56354,1,14,6,7
56401,0,13,5,6
56447,11,12,7,7
56494,10,13,12,5
56540,10,13,11,6
56587,10,12,11,6
56633,10,11,11,7
56679,10,12,11,10
56726,10,12,11,12
56772,10,11,11,12
56819,10,12,11,9
56865,9,14,9,9
56912,9,13,10,8
56958,9,12,9,6
57004,10,13,10,5
57051,9,12,10,5
57097,9,12,10,5
57144,9,12,10,4
57190,10,12,10,4
57237,10,12,9,5
57283,9,11,9,8
57330,10,13,9,4
57376,9,12,9,5
57422,8,11,9,4
57469,9,13,10,4
57515,9,12,10,3
57562,6,10,9,4
57608,9,11,9,4
57655,9,11,9,5
57701,9,11,9,1
57748,9,11,8,2
57794,8,11,8,3
57840,9,11,8,0
57887,9,10,9,5
57933,7,11,10,6
57980,9,11,8,5
58026,9,11,8,3
58073,9,11,8,5
58119,9,12,11,7
58165,9,11,8,7
58212,8,11,10,7
58258,8,11,14,12
58305,8,11,6,7
58351,10,12,8,3
58398,10,12,15,13
58444,10,12,7,2
58491,9,12,8,2
58537,10,12,6,2
58583,9,11,7,3
58630,9,12,7,6
58676,10,12,6,6
58723,11,12,6,5
58769,10,11,6,6
58816,9,13,5,5
58862,10,12,6,4
